ISBN;TITOLO;ANNO PUBBLICAZIONE;DATA AGGIUNTA;GENERE;TIPO;AUTORE/I;EDITORE;COLLANA;LINGUA;NUMERO COPIE;PREZZO;SCAFFALE;RIPIANO;
N.D.;Introduzione a Sartre;1973;\;Filosofia;\;Sergio Moravia;Laterza;I filosofi;Italiano;1;1200L;2;2;
N.D.;Introduzione a Dewey;1973;\;Filosofia;\;Alberto Granese;Laterza;I filosofi;Italiano;1;1200L;2;2;
N.D.;Introduzione a WittGenstein;1973;\;Filosofia;\;Aldo G.Gargani;Laterza;I filosofi;Italiano;1;1400L;2;2;
N.D.;Introduzione a Whitehead;1972;\;Filosofia;\;Massimo A. Bonfantini;Laterza;I filosofi;Italiano;1;1000L;2;2;
N.D.;Introduzione a Moore;1972;\;Filosofia;\;Eugenio Lecaldano;Laterza;I filosofi;Italiano;1;900L;2;2;
N.D.;Introduzione a Carnap;1972;\;Filosofia;\;Alberto Pasquinelli;Laterza;I filosofi;Italiano;1;900L;2;2;
N.D.;Introduzione a Schelling;1971;\;Filosofia;\;Giuseppe Semerari;Laterza;I filosofi;Italiano;1;900L;2;2;
N.D.;Introduzione a Niccolò Cusano;1971;\;Filosofia;\;Giovanni Santinello;Laterza;I filosofi;Italiano;1;900L;2;2;
N.D.;Introduzione a Berkeley;1970;\;Filosofia;\;Mario Manlio Rossi;Laterza;I filosofi;Italiano;1;1000L;2;2;
N.D.;Introduzione a Husserl;1970;\;Filosofia;\;Renzo Raggiunti;Laterza;I filosofi;Italiano;1;1000L;2;2;
N.D.;Gli Etruschi;1972;\;Storia;Antologia;Lida Bernardini;G.D'Anna;Gli uomini e le loro Istituzioni;Italiano;1;1600L;2;3;
N.D.;Romania e Gothia;1972;\;Storia;Antologia;Nansen Defendi;G.D'Anna;Gli uomini e le loro Istituzioni;Italiano;1;1500L;2;3;
N.D.;L'economia dell'età Feudale;1972;\;Storia;Antologia;Silvia Roncagliolo;G.D'Anna;Gli uomini e le loro Istituzioni;Italiano;1;1300L;2;3;
N.D.;L'ecumene Persiana: Formazione e Organizzazione;1972;\;Storia;Antologia;Carola Costa Mignosi;G.D'Anna;Gli uomini e le loro Istituzioni;Italiano;1;1600L;2;3;
N.D.;La Romanizzione dell'occidente;1972;\;Storia;Antologia;Luigi Bessone;G.D'Anna;Gli uomini e le loro Istituzioni;Italiano;1;1800L;2;3;
N.D.;Origini e significato del monachesimo;1972;\;Storia;Antologia;Aldo Landi;G.D'Anna;Gli uomini e le loro Istituzioni;Italiano;1;1400L;2;3;
N.D.;La Dominazione Longobarda in Italia;1972;\;Storia;Antologia;Enrico Maffezzoni;G.D'Anna;Gli uomini e le loro Istituzioni;Italiano;1;1400L;2;3;
N.D.;L'ecumene Persiana: Civiltà;1972;\;Storia;Antologia;Carola Costa Mignosi;G.D'Anna;Gli uomini e le loro Istituzioni;Italiano;1;1650L;2;3;
N.D.;Giulio Cesare nella Rivoluzione Romana;1972;\;Storia;Antologia; Lida Bernardini;G.D'Anna;Gli uomini e le loro Istituzioni;Italiano;1;1500L;2;3;
N.D.;"Il Tramonto della potenza Gotica
e la restaurazione bizantina nell'Italia del VI secolo";1972;\;Storia;Antologia;Nansen Defendi;G.D'Anna;Gli uomini e le loro Istituzioni;Italiano;1;1500L;2;3;
N.D.;L'agonia del Paganesimo;1972;\;Storia;Antologia;Idelfonso Micheli;G.D'Anna;Gli uomini e le loro Istituzioni;Italiano;1;1400L;2;3;
N.D.;Aspetti e peculiarità della religione romana;1972;\;Storia;Antologia;Iris Sussi Giannini e Anna Maria Rossi Fagnini;G.D'Anna;Gli uomini e le loro Istituzioni;Italiano;1;1400L;2;3;
N.D.;Schiavitù e società nel mondo antico;1972;\;Storia;Antologia;Marisa Trigari;G.D'Anna;Gli uomini e le loro Istituzioni;Italiano;1;1600L;2;3;
N.D.;"L'antico Regno d'Egitto
e la prima rivoluzione politico-sociale";1972;\;Storia;Antologia;Patrizia Iodice;G.D'Anna;Gli uomini e le loro Istituzioni;Italiano;1;1300L;2;3;
N.D.;"Le lotte sociali a Roma nel II secolo a.C.
e l'opera dei Gracchi";1972;\;Storia;Antologia;Attilio Inturrisi;G.D'Anna;Gli uomini e le loro Istituzioni;Italiano;1;1400L;2;3;
N.D.;La sicilia e il mondo mediterraneo alle origini della storia;1972;\;Storia;Antologia;Centorrino Stancanelli;G.D'Anna;Gli uomini e le loro Istituzioni;Italiano;1;1600L;2;3;
N.D.;Colonizzazione ed esplorazioni nel mondo antico;1972;\;Storia;Antologia;Luigi Bessone;G.D'Anna;Gli uomini e le loro Istituzioni;Italiano;1;1600L;2;3;
N.D.;La Cina dai Chou agli Han occindentali;1972;\;Storia;Antologia;Silvano Giovacchini;G.D'Anna;Gli uomini e le loro Istituzioni;Italiano;1;1600L;2;3;
N.D.;"Alexandrea ad Aegyptum:
una metropoli nel mondo antico";1972;\;Storia;Antologia;Bruna Addario;G.D'Anna;Gli uomini e le loro Istituzioni;Italiano;1;1400L;2;3;
N.D.;"All'alba dell'Europa:
la rivoluzione culturale dell'Età neolitica";1972;\;Storia;Antologia;Romolo Formentini;G.D'Anna;Gli uomini e le loro Istituzioni;Italiano;1;1600L;2;3;
N.D.;Gli Ebrei sotto la dominazione romana;1972;\;Storia;Antologia;Nansen Defendi;G.D'Anna;Gli uomini e le loro Istituzioni;Italiano;1;1600L;2;3;
N.D.;La casa nell'area mediterranea del mondo antico;1972;\;Storia;Antologia;Amato Rossi;G.D'Anna;Gli uomini e le loro Istituzioni;Italiano;1;1600L;2;3;
N.D.;L'india antica e la sua tradizione;1972;\;Storia;Antologia;Stefano Piano;G.D'Anna;Gli uomini e le loro Istituzioni;Italiano;1;1800L;2;3;
N.D.;La Mezzaluna e la Croce;1972;\;Storia;Antologia;Maria Raffaelli;G.D'Anna;Gli uomini e le loro Istituzioni;Italiano;1;1400L;2;3;
N.D.;Verso l'unità ellenistica;1972;\;Storia;Antologia;Carola Costa Mignosi;G.D'Anna;Gli uomini e le loro Istituzioni;Italiano;1;1600L;2;3;
88-8129-655-1;Dialoghi sull'amicizia e sull'amore;1995;\;Filosofia;\;Platone;BIT;Classici del Pensiero;Italiano;1;3000L;2;2;
88-8129-659-4;Dizionario Filosofico;1995;\;Filosofia;\;Voltaire;BIT;Classici del Pensiero;Italiano;1;5000L;2;2;
88-8111-023-7;Pensieri;1995;\;Filosofia;\;Pascal;BIT;Classici del Pensiero;Italiano;1;4000L;2;2;
88-8111-106-3;Gli ultimi giorni di Socrate;1995;\;Filosofia;\;Platone;BIT;Classici del Pensiero;Italiano;1;2000L;2;2;
88-8111-113-6;Elogio della Pazzia;1995;\;Filosofia;\;Erasmo;BIT;Classici del Pensiero;Italiano;1;2000L;2;2;
88-8111-119-5;"Simposio
Il Dialogo dell'Eros";1995;\;Filosofia;\;Platone;BIT;Classici del Pensiero;Italiano;1;1000L;2;2;
88-8111-127-6;La vera gioia;1995;\;Filosofia;\;Seneca;BIT;Classici del Pensiero;Italiano;1;1000L;2;2;
88-8111-144-6;Elogio della calvizie;1995;\;Filosofia;\;Sinesio;BIT;Classici del Pensiero;Italiano;1;1000L;2;2;
88-8111-151-9;Diapsalmata;1996;\;Filosofia;\;Kierkegaard;BIT;Classici del Pensiero;Italiano;1;1000L;2;2;
88-8111-162-4;Le passeggiate solitarie;1996;\;Filosofia;\;Rousseau;BIT;Classici del Pensiero;Italiano;1;2000L;2;2;
88-8111-175-6;Le Confessioni;1996;\;Filosofia;\;Rousseau;BIT;Classici del Pensiero;Italiano;1;5000L;2;2;
88-7380-117-X;Usi dellì'Oblio;1988;\;Filosofia;Saggio;Yerushalmi, Loraux, Mommsen, Milner, Vattimo;Pratiche;N.D.;Italiano;1;14000L;2;2;
N.D.;Etica e Politica;1984;\;Filosofia;\;"Bobbio,Bodei, Badaloni, Veca, Santambrogio,
Tega, Zamagni, Rossi, Giorello, Pattaro";Pratiche;Labirinti;Italiano;2;13000L;2;2;
88-7380-072-6;L'anno di Darwin;1985;\;Filosofia;\;"Kohn, Roger, Conry, Pancaldi, Hoppe,
La Vergata, Corsi, Landucci";Pratiche;Labirinti;Italiano;1;17000L;2;2;
88-06-12899-X;Fuori dall'Occidente;1992;\;Filosofia;\;Alberto Asor Rosa;Einaudi;Einaudi Contemporanea;Italiano;2;16000L;2;2;
88-06-12764-0;Il Futuro della Democrazia;1984;\;Filosofia;\;Norberto Bobbio ;Einaudi;Einaudi Contemporanea;Italiano;1;18000L;2;2;
88-7380-152-8;Atena nera;1987;\;Storia;\;Martin Bernal;Pratiche;N.D.;Italiano;1;70000L;2;2;
N.D.;Filosofia del dialogo;1962;\;Filosofia;Saggio;Guido Palogero;Edizioni di comunità;N.D.;Italiano;1;30000L;2;2;
N.D.;Le forme elementari della vita religiosa;1973;\;Filosofia;Saggio;Durkheim;Newton Compton;Paperbacks saggi;Italiano;1;18000L;2;2;
N.D.;Piccola antologia filosofica;1971;\;Filosofia;Antologia;Mario Del Pra;La nuova Italia;N.D.;Italiano;1;1450L;2;2;
N.D.;L'essenza del cristianesimo;1960;\;Filosofia;\;Ludwig Feuerbach;Feltrinelli;N.D.;Italiano;1;1500L;2;2;
N.D.;Essenza della religione;1969;\;Filosofia;\;Ludwig Feuerbach;Laterza;N.D.;Italiano;1;1000L;2;2;
N.D.;Teotemismo;1971;\;Filosofia;Saggio;Frazer;Newton Compton;Paperbacks saggi;Italiano;1;1000L;2;2;
N.D.;La scienza ellenistica;1984;\;Filosofia;\;Gabriele Giannantoni e Mario Vegetti;Bibliopolis;N.D.;Italiano;1;40000L;2;2;
N.D.;Marxismo e scienze umane;1973;\;Filosofia;Saggio;Goldmann;Newton Compton;Paperbacks saggi;Italiano;1;1500L;2;2;
N.D.;Sociologia della letteratura;1974;\;Filosofia;Saggio;Goldmann, Lukacs e Eco;Newton Compton;Paperbacks saggi;Italiano;1;1200L;2;2;
88-06-11404-2;Figure I;1966;\;Filosofia;\;Gerard Genette;Einaudi;N.D.;Italiano;1;15000L;2;2;
N.D.;Filosofiia e filosofia della scienza;1960;\;Filosofia;\;Ludovico Geymonat;Feltrinelli;N.D.;Italiano;1;2500L;2;2;
88-06-60005-2;Esercizi spirituali e filosofia antica;1987;\;Filosofia;\;Pierre Hadot;Einaudi;N.D.;Italiano;1;24000L;2;2;
N.D.;Sociologia della letteratura;1974;\;Filosofia;Saggio;Goldmann, Lukacs e Eco;Newton Compton;Paperbacks saggi;Italiano;1;1200L;2;2;
N.D.;I ribelli;1959;\;Filosofia;\;E. J. Hobsbawm;Einaudi;N.D.;Italiano;1;2000L;2;2;
N.D.;Crepuscolo;1977;\;Filosofia;\;Max Horkheimer;Einaudi;N.D.;Italiano;1;2400L;2;2;
88-7380-145-5;Processo o creazione;1989;\;Filosofia;Saggio;Francois Julien;Pratiche;N.D.;Italiano;1;35000L;2;2;
N.D.;Aut-aut;1956;\;Filosofia;\;Soren Kierkegaard;Mondadori;N.D.;Italiano;1;1000L;2;2;
N.D.;Significato e fine della storia;1949;\;Filosofia;\;Karl Lowith;Edizioni di comunità;N.D.;Italiano;1;2000L;2;3;
N.D.;Il diritto all'ozio;1969;\;Filosofia;\;Paul Lafargue;Feltrinelli;N.D.;Italiano;1;700L;2;3;
N.D.;Il marxismo introvabile;1978;\;Filosofia;\;Daniel Lindenberg;Einaudi;Nuovo politecnico;Italiano;1;N.D.;2;3;
N.D.;Linguaggi, macchine e formalizzazione;1974;\;Filosofia;\;Franco Lo Piparo;Il Mulino;N.D.;Italiano;1;2800L;2;3;
88-86972-01-6;Europa e federalismo globale;1996;\;Filosofia;\;Alexandre Marc;Ventilabro;N.D.;Italiano;1;38000L;2;3;
N.D.;Magia, scienza e religione;1976;\;Filosofia;Saggio;Malinowski;Newton Compton;Paperbacks saggi;Italiano;1;1600L;2;3;
88-350-8264-1;L'avventura dell'arte;1990;\;Arte;Libro di scuola;AA.VV.;La scuola;N.D.;Italiano;1;36700L;2;3;
N.D.;L'immaginario;1988;\;Arte;Libro di scuola;AA.VV.;Petrini ;N.D.;Italiano;1;N.D.;2;3;
N.D.;Musei di Francia;1965;\;Arte;\;Jean-Pierre Babelon;De Agostini;N.D.;Italiano;1;N.D.;2;3;
88-425-8013-9;Comunicare per immagini;1990;\;Arte;Libro di scuola;Carlo Alberto Michelini;Mursia;N.D.;Italiano;1;29000L;2;3;
N.D.;Che cos'è il personalismo?;1948;\;Filosofia;Saggio;Emmanuel Mounier;Einaudi;N.D.;Italiano;1;1200L;2;3;
N.D.;Malthus;1974;\;Filosofia;\;J. M. Poursin e G. Dupuy;Laterza;N.D.;Italiano;1;1300L;2;3;
N.D.;Saggi;1966;\;Filosofia;Saggio;Michel de Montaigne;Mondadori;Montaigne Saggi (2 volumi);Italiano;1;1800L;2;3;
N.D.;Essere persona;2007;\;Filosofia;\;Virgilio Melchiorre;Fondazione Achille e Giulia Boroli;Homo Sapiens;Italiano;1;N.D.;2;3;
88-7088-089-3;Una teoria consequenzialista dei condizionali;1983;\;Filosofia;\;Claudio Pizzi;Bibliopolis;N.D.;Italiano;1;20000L;2;3;
N.D.;Un'idea di realismo;1976;\;Filosofia;Saggio;Folco Portinari;Guida editori;Sigma saggi;Italiano;1;5500L;2;3;
N.D.;Dialoghi;1957;\;Filosofia;\;Platone;Fratelli Stianti;N.D.;Italiano;1;1000L;2;3;
N.D.;Che cos'è la proprietà;1967;\;Filosofia;\;Pierre-Joseph Proudhon;Laterza;N.D.;Italiano;1;2000L;2;3;
N.D.;Il mondo fisico dei Greci;1959;\;Filosofia;\;S.Sambursky;Feltrinelli;N.D.;Italiano;1;2200L;2;3;
N.D.;Il modo di produzione asiatico;1969;\;Filosofia;\;Gianni Sofri;Einaudi;N.D.;Italiano;1;1600L;2;3;
N.D.;Scritti filosofici ;1972;\;Filosofia;\;Voltaire;Laterza;Scritti filosofici (2 volumi);Italiano;1;2400L;2;3;
N.D.;Dizionario Filosofico;1955;\;Filosofia;\;Voltaire;Mondadori;N.D.;Italiano;1;1500L;2;3;
N.D.;Lo spirito critico;1967;\;Filosofia;\;AA.VV.;Edizioni di comunità;N.D.;Italiano;1;8000L;2;3;
N.D.;Sociologia della religione;1975;\;Filosofia;Saggio;Weber;Newton Compton;Paperbacks saggi;Italiano;1;2200L;2;3;
88-7380-189-7;Il circolo di Vienna;1992;\;Filosofia;\;Hempel Von Wright e Haller Wolters;Pratiche;N.D.;Italiano;1;16000L;2;3;
N.D.;Fondamenti della logica di Husserl;1965;\;Filosofia;Saggio;Franco Voltaggio;Edizioni di comunità;Saggi di cultura contemporanea;Italiano;1;2200L;2;3;
N.D.;150 La nostra storia;2011;\;Storia;\;Provincia di Roma;Fondazione Rosselli;N.D.;Italiano;1;N.D.;2;3;
N.D.;Linee riassuntive della vita esterna ed interna della Chiesa nel tardo medioevo;N.D.;\;Storia;\;N.D.;N.D.;N.D.;Italiano;1;N.D.;2;3;
N.D.;Le forza armate della guerra di liberazione alla nascita della repubblica;1997;\;Storia;\;Gianni Oliva;Stabilimento grafico militare;N.D.;Italiano;1;N.D.;2;3;
N.D.;La repubblica economica americana;1966;\;Storia;Saggio;Adolf A. Berle;Edizioni di comunità;Saggi di cultura contemporanea;Italiano;1;2700L;2;3;
0024064-8;Guida alla civiltà etrusca;1984;\;Storia;\;Giancarlo Buzzi;Mondadori;N.D.;Italiano;1;25000L;2;4;
